X,Y,Vindstyrke,Month
7.5,6.0,0.52,9.0
7.5,6.0,0.57,10.0
7.5,6.0,0.59,11.0
7.5,6.0,0.74,12.0
7.5,8.0,1.06,1.0
7.5,8.0,0.86,2.0
7.5,8.0,1.37,3.0
7.5,8.0,0.7,4.0
7.5,8.0,0.69,5.0
7.5,8.0,0.79,6.0
7.5,8.0,1.07,7.0
7.5,8.0,1.26,8.0
7.5,8.0,1.36,9.0
7.5,8.0,1.06,10.0
7.5,8.0,1.46,11.0
7.5,8.0,1.82,12.0
8.0,5.0,0.61,1.0
8.0,5.0,0.64,2.0
8.0,5.0,0.96,3.0
8.0,5.0,0.65,4.0
8.0,5.0,0.55,5.0
8.0,5.0,0.64,6.0
8.0,5.0,0.89,7.0
8.0,5.0,0.85,8.0
8.0,5.0,1.18,9.0
8.0,5.0,0.8,10.0
8.0,5.0,1.03,11.0
8.0,5.0,1.57,12.0
8.0,3.0,0.56,1.0
8.0,3.0,0.57,2.0
8.0,3.0,0.56,3.0
8.0,3.0,0.45,4.0
8.0,3.0,0.44,5.0
8.0,3.0,0.39,6.0
8.0,3.0,0.71,7.0
8.0,3.0,0.53,8.0
8.0,3.0,0.49,9.0
8.0,3.0,0.5,10.0
8.0,3.0,0.8,11.0
8.0,3.0,0.83,12.0
10.0,5.0,0.79,1.0
10.0,5.0,0.91,2.0
10.0,5.0,0.79,3.0
10.0,5.0,0.96,4.0
10.0,5.0,0.59,5.0
10.0,5.0,0.77,6.0
10.0,5.0,0.88,7.0
10.0,5.0,1.84,8.0
10.0,5.0,1.24,9.0
10.0,5.0,1.13,10.0
10.0,5.0,0.98,11.0
10.0,5.0,1.15,12.0
10.5,3.5,0.98,1.0
10.5,3.5,1.24,2.0
10.5,3.5,0.9,3.0
10.5,3.5,0.97,4.0
10.5,3.5,0.71,5.0
10.5,3.5,0.85,6.0
10.5,3.5,1.08,7.0
10.5,3.5,2.24,8.0
10.5,3.5,1.86,9.0
10.5,3.5,1.32,10.0
10.5,3.5,1.24,11.0
10.5,3.5,1.41,12.0
10.8,5.5,2.65,1.0
10.8,5.5,2.23,2.0
10.8,5.5,2.26,3.0
10.8,5.5,2.14,4.0
10.8,5.5,1.73,5.0
10.8,5.5,3.03,6.0
10.8,5.5,3.09,7.0
10.8,5.5,4.08,8.0
10.8,5.5,4.63,9.0
10.8,5.5,4.16,10.0
10.8,5.5,4.02,11.0
10.8,5.5,3.9,12.0
